dataset,module,module_role,valid,matched_ligand_genes,matched_receptor_genes,support_tier,failure_reason,role,independence_tier,expected_window_type,pre_time,event_time,post_time,window_source,strict_pair_count,activation_effect,receiver_priming_effect,post_event_divergence_effect,communication_window_score,random_activation_q,random_score_q,time_shuffle_score,activation_positive,receiver_priming_positive,post_event_divergence_positive,random_control_pass,time_shuffle_pass
internal_native,FGF_niche,primary_morphogen,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
internal_native,WNT_niche,primary_morphogen,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
internal_native,BMP_niche,primary_morphogen,True,2,1,fail,no_activation_or_controls_failed,internal_reference,internal,condensation_before_divergence,12.0,13.0,14.0,scan,2.0,-0.0148374518072668,-0.045277416976999274,5.599704257812412e-06,-0.014834651955137893,0.925,0.925,-0.0005845320087735579,False,False,True,False,False
internal_native,TGF_NODAL_ACTIVIN_niche,primary_morphogen,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
internal_native,SHH_niche,primary_morphogen,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
internal_native,Notch_Delta_niche,primary_contact,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
internal_native,ECM_adhesion_guidance_niche,secondary_ecm_guidance,True,25,12,fail,no_activation_or_controls_failed,internal_reference,internal,condensation_before_divergence,12.0,13.0,14.0,scan,55.0,-0.08408217873643084,-0.1431329488538045,-0.002135246941482102,-0.08514980220717189,0.65,0.65,-0.005769406740852491,False,False,False,False,False
internal_native,chemokine_growth_factor_niche,secondary_growth,True,5,5,fail,no_activation_or_controls_failed,internal_reference,internal,condensation_before_divergence,12.0,13.0,14.0,scan,5.0,-0.0011495047023228839,-0.012999999999999998,8.304962894793698e-06,-0.001145352220875487,0.05,0.05,0.0018075776542435002,False,False,True,True,False
E1_MouseGastrulationData,FGF_niche,primary_morphogen,True,2,1,acceptable,,external_time_series,related_mouse_gastrulation_sample,condensation_before_divergence,7.0,7.25,7.5,pre_registered,2.0,0.015068744154829727,-0.0006990479649466308,0.0028914850500726726,0.016514486679866065,0.075,0.075,-0.012434122169335943,True,False,True,True,True
E1_MouseGastrulationData,WNT_niche,primary_morphogen,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
E1_MouseGastrulationData,BMP_niche,primary_morphogen,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
E1_MouseGastrulationData,TGF_NODAL_ACTIVIN_niche,primary_morphogen,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
E1_MouseGastrulationData,SHH_niche,primary_morphogen,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
E1_MouseGastrulationData,Notch_Delta_niche,primary_contact,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
E1_MouseGastrulationData,ECM_adhesion_guidance_niche,secondary_ecm_guidance,True,3,2,weak,,external_time_series,related_mouse_gastrulation_sample,condensation_before_divergence,7.0,7.25,7.5,pre_registered,4.0,0.011195886091660806,-0.12341396562501927,0.001060983075771172,0.011726377629546392,0.25,0.275,-0.022592121227857757,True,False,True,False,True
E1_MouseGastrulationData,chemokine_growth_factor_niche,secondary_growth,False,0,0,fail,no_strict_ligand_or_receptor_match,,,,,,,,,,,,,,,,,,,,
E3_MouseGastrulationData_full,FGF_niche,primary_morphogen,True,23,5,fail,no_activation_or_controls_failed,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,pre_registered,89.0,-0.03472640623615911,-0.05894233324475151,-0.0010240271770242545,-0.035238419824671234,0.7,0.675,-0.0033579607845965107,False,False,False,False,False
E3_MouseGastrulationData_full,WNT_niche,primary_morphogen,True,19,15,fail,no_activation_or_controls_failed,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,pre_registered,143.0,-0.01576591765829076,-0.028468642040924752,0.00011326687464346431,-0.015709284220969028,0.15,0.15,-0.0106192029866473,False,False,True,False,False
E3_MouseGastrulationData_full,BMP_niche,primary_morphogen,True,21,9,fail,no_activation_or_controls_failed,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,pre_registered,95.0,-0.008231458720878743,-0.03641625697581713,0.0010622997026262001,-0.007700308869565643,0.05,0.05,-0.026897823868167046,False,False,True,True,True
E3_MouseGastrulationData_full,TGF_NODAL_ACTIVIN_niche,primary_morphogen,True,8,9,weak,,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,pre_registered,33.0,0.016878218999531763,-0.04249553927337624,0.0002805289184328614,0.017018483458748193,0.0,0.0,-0.00939087665640893,True,False,True,True,True
E3_MouseGastrulationData_full,SHH_niche,primary_morphogen,True,3,5,fail,no_activation_or_controls_failed,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,pre_registered,13.0,-0.001705273570142031,-0.020087031623704454,-0.004966508181953872,-0.004188527661118967,0.425,0.525,-0.0026655950684247387,False,False,False,False,False
E3_MouseGastrulationData_full,Notch_Delta_niche,primary_contact,True,5,4,fail,no_activation_or_controls_failed,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,pre_registered,20.0,-0.013547912211212772,-0.01818363008238108,-0.00029850143949174146,-0.013697162930958642,0.625,0.625,-0.002764637158408625,False,False,False,False,False
E3_MouseGastrulationData_full,ECM_adhesion_guidance_niche,secondary_ecm_guidance,True,73,56,fail,no_activation_or_controls_failed,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,pre_registered,346.0,-0.02010697373614327,-0.06175369829037125,0.005137904705082123,-0.01753802138360221,0.05,0.05,-0.013235696800740156,False,False,True,True,False
E3_MouseGastrulationData_full,chemokine_growth_factor_niche,secondary_growth,True,83,67,fail,no_activation_or_controls_failed,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,pre_registered,203.0,-0.0036888453361679507,0.016435523518469303,0.000437116626001364,-0.0034702870231672687,0.0,0.0,-0.003182312233191882,False,True,True,True,False
E5_zebrafish_Farrell,FGF_niche,primary_morphogen,True,13,3,weak,,independent_developmental_stress,independent_cross_species,divergence_without_condensation,9.0,10.0,12.0,pre_registered,37.0,0.0013196184454363213,-0.0018013784461152899,1.6785582097407205e-05,0.001328011236485025,0.125,0.125,0.0028373658094948693,True,False,True,False,False
E5_zebrafish_Farrell,WNT_niche,primary_morphogen,True,15,10,fail,no_activation_or_controls_failed,independent_developmental_stress,independent_cross_species,divergence_without_condensation,9.0,10.0,12.0,pre_registered,72.0,-0.0015730793969803945,-0.001012948908293565,7.07549514266057e-05,-0.0015377019212670917,0.35,0.35,0.00178857735015029,False,False,True,False,False
E5_zebrafish_Farrell,BMP_niche,primary_morphogen,True,7,3,weak,,independent_developmental_stress,independent_cross_species,divergence_without_condensation,9.0,10.0,12.0,pre_registered,9.0,0.002675438596491228,-0.012813283208020054,-1.0220865159870753e-05,0.0026703281639112925,0.2,0.2,-0.0018587817841498877,True,False,False,False,True
