genesymbol,category,transmitter,receiver,secreted,plasma_membrane_transmembrane
HSP90AB1,receptor,False,True,True,False
RPSA,receptor,False,True,False,True
HSPA5,receptor,False,True,False,False
RPSA,other_receptor_family,False,True,False,True
RPSA,non_integrin_laminin_binding_proteins,False,True,False,True
TUBA1A,receptor,False,True,False,False
HSPA1B,receptor,False,True,False,False
RPS6KA5,receptor,False,True,False,False
RPSA2,receptor,False,True,False,False
TUBB,receptor,False,True,False,False
TUBA4A,receptor,False,True,False,False
RPS6KA3,receptor,False,True,False,False
HSPA6,receptor,False,True,False,False
TUBB8,receptor,False,True,False,False
RPS6KA1,receptor,False,True,False,False
HSP90AA1,receptor,False,True,True,False
TUBB3,receptor,False,True,False,False
TUB,receptor,False,True,True,False
HSPA8,receptor,False,True,False,False
HSP90B1,receptor,False,True,False,False
RPS6KA2,receptor,False,True,False,False
TP53RK,receptor,False,True,False,False
HSPA1A,receptor,False,True,True,False
HSPA1L,receptor,False,True,False,False
HSPA2,receptor,False,True,False,False
RPS6KB2,receptor,False,True,False,False
RPS6KL1,receptor,False,True,False,False
TUBB4B,receptor,False,True,False,False
RPS6KB1,receptor,False,True,False,False
RPS6KC1,receptor,False,True,False,False
RPS6KA4,receptor,False,True,False,False
RPS6KA6,receptor,False,True,False,False
HNRNPC,ecm,True,False,False,False
ACTBL2,ecm,True,False,False,False
HSPB1,ecm,True,False,False,False
HSPH1,ecm,True,False,False,False
RPL39,ecm,True,False,False,False
TUBA4A,ecm,True,False,False,False
HSPG2,ecm,True,False,True,False
HSPB6,ecm,True,False,True,False
CALML5,ecm,True,False,False,False
RPS27A,ecm,True,False,False,False
ACTB,ecm,True,False,False,False
HSPBP1,ecm,True,False,False,False
HSPD1,ecm,True,False,False,False
TUB,ecm,True,False,True,False
RPL22,ecm,True,False,False,False
RPS19,ecm,True,False,True,False
RPS16,ecm,True,False,False,False
RPL34,ecm,True,False,False,False
