native_max_cells_per_time,epsilon,branch_proxy_effect,baseline_branch_proxy_effect,branch_effect_relative_to_baseline,branch_signature_direction_consistency,teacher_sensitivity_tier
120,0.04,-5.599007954229057,-5.050856960291712,1.1085263348866814,True,acceptable
120,0.08,-5.406251573842583,-5.050856960291712,1.0703632307041904,True,acceptable
120,0.12,-5.247505327617615,-5.050856960291712,1.0389336639053317,True,acceptable
250,0.04,-5.659242164940571,-5.050856960291712,1.1204518776579493,True,acceptable
250,0.08,-5.517076386056329,-5.050856960291712,1.092305014659867,True,acceptable
250,0.12,-5.394557287669022,-5.050856960291712,1.0680479233681286,True,acceptable
500,0.04,-5.104537972918041,-5.050856960291712,1.0106280999538004,True,acceptable
500,0.08,-4.9369938951411205,-5.050856960291712,0.9774566838764692,True,acceptable
500,0.12,-4.862819370067743,-5.050856960291712,0.9627711511725112,True,acceptable
650,0.04,-5.21020792603809,-5.050856960291712,1.0315492929218044,True,acceptable
650,0.08,-5.050856960291712,-5.050856960291712,1.0,True,acceptable
650,0.12,-4.958719472208683,-5.050856960291712,0.9817580484247751,True,acceptable
