native_max_cells_per_time,epsilon,branch_proxy_effect,branch_proxy_interpretation,barycentric_velocity_cosine_mean,entropy_correlation,branch_nucleation_proxy_stable,branch_nucleation_teacher_sensitivity_tier
120,0.04,-5.599007954229057,condensation_proxy,0.7288891288402255,0.9394114554735858,True,acceptable
120,0.08,-5.406251573842583,condensation_proxy,0.75,1.0,True,acceptable
120,0.12,-5.247505327617615,condensation_proxy,0.7420228836090109,0.9835988570182429,True,acceptable
250,0.04,-5.659242164940571,condensation_proxy,0.36536715049951063,0.899642090918911,True,acceptable
250,0.08,-5.517076386056329,condensation_proxy,0.39123648498661767,0.9612104978800997,True,acceptable
250,0.12,-5.394557287669022,condensation_proxy,0.40004801352461744,0.9568866230560235,True,acceptable
500,0.04,-5.104537972918041,condensation_proxy,0.39422162751173245,0.9100220578511797,True,acceptable
500,0.08,-4.9369938951411205,condensation_proxy,0.41847370329750583,0.9641351697504214,True,acceptable
500,0.12,-4.862819370067743,condensation_proxy,0.4249114470807154,0.9587464685628672,True,acceptable
650,0.04,-5.21020792603809,condensation_proxy,0.4054104557855633,0.9169405289313043,True,acceptable
650,0.08,-5.0508569602917115,condensation_proxy,0.4281273807877526,0.9672712108586493,True,acceptable
650,0.12,-4.958719472208683,condensation_proxy,0.43362412640550557,0.9607749253535774,True,acceptable
