native_max_cells_per_time,epsilon,source_time,target_time,plan_shape,n_source,n_target,converged,transport_mass,source_mass_cv,target_mass_cv,mean_entropy,transport_cost,lineage_edge_mass_js_vs_reference
120,0.04,13.0,14.0,120x120,120,120,True,0.9999999746198933,5.471669220261752e-07,0.001403412833073952,0.4967844784259796,0.3165711164474487,0.0021026176228264616
120,0.04,12.0,13.0,120x120,120,120,True,1.00000000084201,7.022669883161691e-07,0.0009751684721461969,0.5172954797744751,0.3539827167987823,0.002986076585299108
120,0.04,14.0,16.0,120x120,120,120,True,1.0000000050305788,5.927451859918248e-07,0.001012107787211623,0.5216044187545776,0.3692626655101776,0.002159760907455206
120,0.04,18.0,19.0,120x120,120,120,True,0.9999999724207422,5.0638786475633e-07,0.0008284214170853511,0.4832762479782104,0.3458060026168823,0.0018680134003329423
120,0.04,17.0,18.0,120x120,120,120,False,1.0000000062806391,6.162126712300873e-07,0.0020703103371987434,0.4823412597179413,0.3207149803638458,0.002346042730490468
120,0.04,16.0,17.0,120x120,120,120,False,0.999999999853513,6.292017550074677e-07,0.002225638215510604,0.5091232061386108,0.329528272151947,0.00208131684597237
120,0.08,13.0,14.0,120x120,120,120,True,1.0000000031851197,3.084867165556057e-07,0.0010680722343960173,0.6499463319778442,0.3965781629085541,0.0
120,0.08,12.0,13.0,120x120,120,120,True,0.9999999964424606,4.239698687679025e-07,0.0003150264827646036,0.6524996161460876,0.43196702003479,0.0
120,0.08,14.0,16.0,120x120,120,120,True,1.0000000042549817,3.5055038307851025e-07,0.0010395345165081116,0.6735055446624756,0.444538950920105,0.0
120,0.08,18.0,19.0,120x120,120,120,True,1.000000018705315,3.181145134399493e-07,0.0010285502420665296,0.6239811182022095,0.4296359717845917,0.0
120,0.08,17.0,18.0,120x120,120,120,True,1.0000000104845381,3.304595474482769e-07,0.0010317110754322354,0.6293478012084961,0.4039968252182007,0.0
120,0.08,16.0,17.0,120x120,120,120,True,1.000000003684878,3.4416311780592174e-07,0.0010237137016379147,0.65050208568573,0.4083169102668762,0.0
120,0.12,13.0,14.0,120x120,120,120,True,1.0000000017716277,2.3323628267376288e-07,0.00103484881661337,0.7315289378166199,0.4551171660423279,0.001951119009084866
120,0.12,12.0,13.0,120x120,120,120,True,0.999999996869797,3.175924584832885e-07,0.0006138245114205309,0.7287302613258362,0.4906302690505981,0.002030947311076603
120,0.12,14.0,16.0,120x120,120,120,True,1.0000000134040898,2.700304130754507e-07,0.0009637195148444887,0.7520017027854919,0.4988245666027069,0.002425458942946557
120,0.12,18.0,19.0,120x120,120,120,True,1.0000000121725767,2.8712619890303837e-07,0.0009385341801234525,0.7015587687492371,0.4936609268188476,0.002941115753616616
120,0.12,17.0,18.0,120x120,120,120,True,0.9999999708030775,2.8194994362350626e-07,0.0009539177953282853,0.7056310176849365,0.467014729976654,0.0025291877859654837
120,0.12,16.0,17.0,120x120,120,120,True,1.000000006246397,2.8935046581893165e-07,0.0009443016922852935,0.7243719696998596,0.4675615727901459,0.002516008023488912
250,0.04,13.0,14.0,250x250,250,250,True,0.9999999989374222,7.149425891778224e-07,0.000558652012803082,0.5329917073249817,0.3098816573619842,0.00230388130792549
250,0.04,12.0,13.0,250x250,250,250,False,1.0000000003049732,6.346389651947347e-07,0.0072391021550298916,0.5727118849754333,0.3772865831851959,0.004431811555833127
250,0.04,14.0,16.0,250x250,250,250,False,1.0000000006663676,7.25892017000294e-07,0.0027313204627774173,0.5667227506637573,0.3754793107509613,0.0011367994307360074
250,0.04,18.0,19.0,250x250,250,250,True,0.999999994024569,5.525161463979796e-07,0.0012328423003499726,0.5268325209617615,0.3088461756706238,0.0017974489924563555
250,0.04,17.0,18.0,250x250,250,250,False,0.9999999955183191,5.552213143998034e-07,0.002811554986617039,0.5337982773780823,0.3253992795944214,0.002937886031044149
