native_max_cells_per_time,epsilon,native_max_iterations,pair_count,all_pairs_converged,runtime_seconds,plan_shapes,mean_pair_entropy,barycentric_velocity_cosine_mean,barycentric_velocity_rmse,fate_probability_mae,mean_lineage_edge_stability,branch_signature_direction_consistency,teacher_sensitivity_tier
120,0.04,350,6,False,18.819564300007187,120x120,0.5017375151316324,0.7288891288402255,0.4175678618025227,0.0134299302814801,0.9977426953179372,True,acceptable
120,0.08,350,6,True,10.677463400003036,120x120,0.6466304163138071,0.75,0.0,0.0,1.0,True,acceptable
120,0.12,350,6,True,10.585663599995314,120x120,0.7239704430103302,0.7420228836090109,0.2730195127890771,0.0167391360647516,0.9976010271956368,True,acceptable
250,0.04,350,6,False,11.929983599999105,250x250,0.5458879768848419,0.3653671504995106,1.682482364810064,0.0251352192137651,0.9977304522086938,True,acceptable
250,0.08,350,6,False,11.504068800000825,250x250,0.6888749102751414,0.3912364849866176,1.6417135274298025,0.0208835004404372,0.9993263183260144,True,acceptable
250,0.12,350,6,True,11.82272749999538,250x250,0.7584991455078125,0.4000480135246174,1.663578142758649,0.0266996835233713,0.9973518553968675,True,acceptable
500,0.04,350,6,False,13.27894789999118,500x500,0.5764094094435374,0.3942216275117324,1.577822908098958,0.0213475082142847,0.9965396441917044,True,acceptable
500,0.08,350,6,False,13.29699509999773,500x500,0.7156580289204916,0.4184737032975058,1.5556725224916002,0.0179097815576523,0.9992920255122149,True,acceptable
500,0.12,350,6,True,13.135164999999688,500x500,0.78170778354009,0.4249114470807154,1.5885345981628454,0.0239801632135922,0.9978870260056344,True,acceptable
650,0.04,350,6,False,15.901793699988048,650x650,0.5863403876622518,0.4054104557855633,1.5446682955251378,0.0214383559889075,0.9970828674305436,True,acceptable
650,0.08,350,6,True,16.24746649998997,650x650,0.7246535917123159,0.4281273807877526,1.5293066761305332,0.01758903475842,0.9994565932273596,True,acceptable
650,0.12,350,6,True,14.20647389999067,650x650,0.789228747288386,0.4336241264055055,1.5663044224425031,0.0238130133826546,0.997985836141746,True,acceptable
