native_max_cells_per_time,epsilon,native_max_iterations,native_jit,status,fallback_used,fallback_not_used,runtime_seconds,config_path,summary_path,failure_reason,teacher_backend,pair_count,plan_shapes,all_pairs_converged,mean_pair_entropy,mean_lineage_edge_stability,barycentric_velocity_cosine_mean,barycentric_velocity_rmse,entropy_rmse,entropy_correlation,fate_probability_mae,branch_proxy_effect,branch_proxy_interpretation,sensitivity_incomplete_due_to_resource
120,0.04,350,False,native_moscot_success,False,True,18.819564300007187,processed\native_sensitivity\cells120_eps0p04_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells120_eps0p04_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,120x120,False,0.5017375151316324,0.9977426953179372,0.7288891288402255,0.4175678618025227,0.1506858758005664,0.9394114554735858,0.013429930281480115,-5.599007954229057,condensation_proxy,False
120,0.08,350,False,native_moscot_success,False,True,10.677463400003035,processed\native_sensitivity\cells120_eps0p08_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells120_eps0p08_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,120x120,True,0.6466304163138071,1.0,0.75,0.0,0.0,1.0,0.0,-5.406251573842583,condensation_proxy,False
120,0.12,350,False,native_moscot_success,False,True,10.585663599995314,processed\native_sensitivity\cells120_eps0p12_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells120_eps0p12_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,120x120,True,0.7239704430103302,0.9976010271956367,0.7420228836090109,0.2730195127890771,0.08153712804557858,0.9835988570182429,0.016739136064751647,-5.247505327617615,condensation_proxy,False
250,0.04,350,False,native_moscot_success,False,True,11.929983599999105,processed\native_sensitivity\cells250_eps0p04_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells250_eps0p04_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,250x250,False,0.5458879768848419,0.9977304522086938,0.36536715049951063,1.682482364810064,0.13799219324720036,0.899642090918911,0.02513521921376513,-5.659242164940571,condensation_proxy,False
250,0.08,350,False,native_moscot_success,False,True,11.504068800000823,processed\native_sensitivity\cells250_eps0p08_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells250_eps0p08_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,250x250,False,0.6888749102751414,0.9993263183260143,0.39123648498661767,1.6417135274298025,0.07517588248860176,0.9612104978800997,0.020883500440437287,-5.517076386056329,condensation_proxy,False
250,0.12,350,False,native_moscot_success,False,True,11.82272749999538,processed\native_sensitivity\cells250_eps0p12_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells250_eps0p12_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,250x250,True,0.7584991455078125,0.9973518553968675,0.40004801352461744,1.663578142758649,0.12208848867320758,0.9568866230560235,0.026699683523371334,-5.394557287669022,condensation_proxy,False
500,0.04,350,False,native_moscot_success,False,True,13.27894789999118,processed\native_sensitivity\cells500_eps0p04_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells500_eps0p04_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,500x500,False,0.5764094094435374,0.9965396441917044,0.39422162751173245,1.5778229080989579,0.11864348910672486,0.9100220578511797,0.02134750821428474,-5.104537972918041,condensation_proxy,False
500,0.08,350,False,native_moscot_success,False,True,13.29699509999773,processed\native_sensitivity\cells500_eps0p08_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells500_eps0p08_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,500x500,False,0.7156580289204916,0.9992920255122147,0.41847370329750583,1.5556725224916002,0.08825121435515249,0.9641351697504214,0.017909781557652372,-4.9369938951411205,condensation_proxy,False
500,0.12,350,False,native_moscot_success,False,True,13.135164999999688,processed\native_sensitivity\cells500_eps0p12_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells500_eps0p12_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,500x500,True,0.78170778354009,0.9978870260056344,0.4249114470807154,1.5885345981628454,0.13978965542864055,0.9587464685628672,0.023980163213592226,-4.862819370067743,condensation_proxy,False
650,0.04,350,False,native_moscot_success,False,True,15.901793699988048,processed\native_sensitivity\cells650_eps0p04_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells650_eps0p04_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,650x650,False,0.5863403876622518,0.9970828674305436,0.4054104557855633,1.5446682955251378,0.11014601357975591,0.9169405289313043,0.021438355988907566,-5.21020792603809,condensation_proxy,False
650,0.08,350,False,native_moscot_success,False,True,16.24746649998997,processed\native_sensitivity\cells650_eps0p08_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells650_eps0p08_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,650x650,True,0.7246535917123159,0.9994565932273596,0.4281273807877526,1.5293066761305332,0.0925464402067215,0.9672712108586493,0.017589034758420035,-5.0508569602917115,condensation_proxy,False
650,0.12,350,False,native_moscot_success,False,True,14.20647389999067,processed\native_sensitivity\cells650_eps0p12_iter350\ot_teacher_native_config.yaml,processed\native_sensitivity\cells650_eps0p12_iter350\ot_couplings\moscot_run_summary.json,,native_moscot,6,650x650,True,0.789228747288386,0.997985836141746,0.43362412640550557,1.5663044224425033,0.14544716765811777,0.9607749253535774,0.023813013382654683,-4.958719472208683,condensation_proxy,False
