k,joint_score,direction_stability,mean_normalized_separation_effect,mean_alignment_effect,teacher_fidelity_supported
2,1.3691028949231308,0.5,1.5614853425896345,-0.05774319933248746,True
3,1.3187955491002685,0.5,1.883136715888301,-0.05116079016372535,True
5,1.3103910641267418,0.5,1.794563807121794,-0.04521477231575484,True
7,1.2647839693812655,0.5,1.5706722673559195,-0.041066993582527356,True
1,1.1822681155313455,0.5,1.4722054777428837,-0.06820652322399495,True
9,1.1600311907218832,0.5,1.5411162919807955,-0.03868672412961372,True
12,1.1426484284463658,0.5,1.3571917444218813,-0.035671861062158944,True
15,1.1103476760931854,0.5,1.2624317729017713,-0.03385206403647993,True
20,1.0570311161647523,0.5,1.1326239480055071,-0.03202998176164021,True
30,0.9782376323075158,0.5,0.8133937981315744,-0.03167054135063811,True
