source_lineage,target_lineage,mass,source_time,target_time
erythroid,erythroid,0.3329119086265564,13.0,14.0
erythroid,mesoderm_muscle,0.0002332592848688364,13.0,14.0
erythroid,neural,0.00018812720372807235,13.0,14.0
mesoderm_muscle,erythroid,7.534473297710065e-06,13.0,14.0
mesoderm_muscle,mesoderm_muscle,0.28920137882232666,13.0,14.0
mesoderm_muscle,neural,0.04412444680929184,13.0,14.0
neural,erythroid,4.5311344365472905e-06,13.0,14.0
neural,mesoderm_muscle,0.04430856555700302,13.0,14.0
neural,neural,0.28902024030685425,13.0,14.0
erythroid,erythroid,0.3332766890525818,12.0,13.0
erythroid,mesoderm_muscle,2.6746332878246903e-05,12.0,13.0
erythroid,neural,2.9945977075840347e-05,12.0,13.0
mesoderm_muscle,erythroid,5.14159764861688e-05,12.0,13.0
mesoderm_muscle,mesoderm_muscle,0.2885407507419586,12.0,13.0
mesoderm_muscle,neural,0.04474114626646042,12.0,13.0
neural,erythroid,2.227167715318501e-05,12.0,13.0
neural,mesoderm_muscle,0.04485554248094559,12.0,13.0
neural,neural,0.2884554862976074,12.0,13.0
erythroid,erythroid,0.3328699469566345,14.0,16.0
erythroid,mesoderm_muscle,0.0002654509153217077,14.0,16.0
erythroid,neural,0.00019794123363681138,14.0,16.0
mesoderm_muscle,erythroid,0.0005832222523167729,14.0,16.0
mesoderm_muscle,mesoderm_muscle,0.29706937074661255,14.0,16.0
mesoderm_muscle,neural,0.03568073734641075,14.0,16.0
neural,erythroid,0.00036994824768044055,14.0,16.0
neural,mesoderm_muscle,0.03575390577316284,14.0,16.0
neural,neural,0.2972095012664795,14.0,16.0
erythroid,erythroid,0.3331984579563141,18.0,19.0
erythroid,mesoderm_muscle,7.906985410954803e-05,18.0,19.0
erythroid,neural,5.583544043474831e-05,18.0,19.0
mesoderm_muscle,erythroid,0.0004203098942525685,18.0,19.0
mesoderm_muscle,mesoderm_muscle,0.3194606602191925,18.0,19.0
mesoderm_muscle,neural,0.013452311977744102,18.0,19.0
neural,erythroid,0.00019931080169044435,18.0,19.0
neural,mesoderm_muscle,0.013552900403738022,18.0,19.0
neural,neural,0.31958115100860596,18.0,19.0
erythroid,erythroid,0.33299803733825684,17.0,18.0
erythroid,mesoderm_muscle,0.0002240473113488406,17.0,18.0
erythroid,neural,0.00011126772733405232,17.0,18.0
mesoderm_muscle,erythroid,0.0007612031185999513,17.0,18.0
mesoderm_muscle,mesoderm_muscle,0.31613093614578247,17.0,18.0
mesoderm_muscle,neural,0.01644119620323181,17.0,18.0
neural,erythroid,6.0198872233740985e-05,17.0,18.0
neural,mesoderm_muscle,0.016735509037971497,17.0,18.0
neural,neural,0.31653764843940735,17.0,18.0
erythroid,erythroid,0.3326481282711029,16.0,17.0
erythroid,mesoderm_muscle,0.0005518211401067674,16.0,17.0
erythroid,neural,0.00013339844008442014,16.0,17.0
mesoderm_muscle,erythroid,0.0004950598813593388,16.0,17.0
mesoderm_muscle,mesoderm_muscle,0.313271701335907,16.0,17.0
mesoderm_muscle,neural,0.019566569477319717,16.0,17.0
neural,erythroid,0.0006722336984239519,16.0,17.0
neural,mesoderm_muscle,0.019267825409770012,16.0,17.0
neural,neural,0.313393235206604,16.0,17.0
