dataset,time,graph_distance,correlation,n_pairs
internal,12.0,1,0.25907178577155077,625
internal,12.0,2,0.2618934177887345,625
internal,13.0,1,0.0108630509609703,625
internal,13.0,2,0.002621536114828676,625
internal,14.0,1,0.00561415231023738,625
internal,14.0,2,0.009766268463888578,625
internal,15.0,1,0.17495799481497484,625
internal,15.0,2,0.15989885479917804,625
internal,16.0,1,0.37378012642061176,625
internal,16.0,2,0.36219987629150435,625
internal,17.0,1,0.35118729404948024,625
internal,17.0,2,0.39939004194979916,625
internal,18.0,1,0.05775032811697276,625
internal,18.0,2,0.06989046244099356,625
internal,19.0,1,0.07839296938199308,625
internal,19.0,2,0.0964651961937812,625
E1,7.0,1,0.7687602970463733,161
E1,7.0,2,0.6840034631894822,161
E1,7.25,1,0.6276396717658883,87
E1,7.25,2,0.5671182814366755,87
E1,7.5,1,0.7306328768979096,453
E1,7.5,2,0.7088118451334623,453
E1,7.75,1,0.7406943965949677,618
E1,7.75,2,0.6994651713687344,618
E1,8.0,1,0.818683974741842,388
E1,8.0,2,0.7931384000141372,388
E1,8.25,1,0.9999999999999999,93
E1,8.25,2,0.9999999999999999,93
L2,6.0,1,0.8138194563775993,87
L2,6.0,2,0.7778580051367902,87
L2,9.0,1,0.7498318350806138,543
L2,9.0,2,0.7018404528248229,543
L2,12.0,1,0.8409388288115368,604
L2,12.0,2,0.8159531274346843,604
L2,15.0,1,0.9015530784869428,606
L2,15.0,2,0.8961722059513528,606
L2,21.0,1,0.8176044483570943,666
L2,21.0,2,0.797871292730388,666
L2,28.0,1,0.9999999999999999,694
L2,28.0,2,0.9999999999999999,694
E2,3.0,1,0.9999999999999999,360
E2,3.0,2,0.9999999999999999,360
E2,3.5,1,1.0,360
E2,3.5,2,1.0,360
E2,4.0,1,1.0000000000000002,360
E2,4.0,2,1.0000000000000002,360
E2,4.5,1,0.9999999999999999,360
E2,4.5,2,0.9999999999999999,360
E2,5.0,1,1.0000000000000002,360
E2,5.0,2,1.0000000000000002,360
