model,reference_model,control_role,negative_control_expected_to_fail,mean_sinkhorn,ot_reference_sinkhorn,relative_sinkhorn_to_ot_reference,mean_mmd_rbf,ot_reference_mmd_rbf,relative_mmd_to_ot_reference,mean_energy,ot_reference_energy,relative_energy_to_ot_reference,composition_rmse,branch_fate_error,manifold_escape_rate,event_count_stability,fate_probability_calibration,negative_control_outcome,numeric_teacher_fidelity_tier,teacher_fidelity_tier,failure_reasons,gate_pass,strong_gate
M0_linear_label_interpolation,M0b_ot_interpolation,evaluated_model,False,0.28166116362598076,0.25507592027895754,1.1042248257614788,0.00822039187839316,0.00878499246833632,0.9357312380200502,0.2923743596449888,0.33588268393077236,0.8704657120855004,0.00396320984240832,0.00396320984240832,0.15249406175771973,0.0,0.9207358031518336,not_applicable,acceptable,acceptable,,True,False
M0b_ot_interpolation,M0b_ot_interpolation,evaluated_model,False,0.25507592027895754,0.25507592027895754,1.0,0.00878499246833632,0.00878499246833632,1.0,0.33588268393077236,0.33588268393077236,1.0,0.0034810292302347597,0.0034810292302347597,0.05083135391923976,0.0,0.9303794153953048,not_applicable,strong,strong,,True,True
M10_shuffled_time_ot,M0b_ot_interpolation,negative_control,True,0.3102403166539071,0.25507592027895754,1.2162665778667794,0.005167950301862101,0.00878499246833632,0.5882703167349208,0.20437854460393362,0.33588268393077236,0.6084819324775236,0.01849603312468468,0.01849603312468468,0.24370546318289787,0.08947600403739624,0.6300793375063064,fail_expectation_met,weak,fail,negative_control_expected_to_fail,False,False
M11_random_lr_labels,M0b_ot_interpolation,negative_control,True,0.2896173391317228,0.25507592027895754,1.1354162275097934,0.01722969446211492,0.00878499246833632,1.9612645684348364,0.628863585223236,0.33588268393077236,1.8722715260690515,0.02337670971142278,0.02337670971142278,0.10403800475059377,0.08446606382186925,0.5324658057715443,fail_expectation_met,acceptable,fail,negative_control_expected_to_fail,False,False
M1_intrinsic_neural,M0b_ot_interpolation,evaluated_model,False,0.3095063773067499,0.25507592027895754,1.2133892410081901,0.02766487861743494,0.00878499246833632,3.149106697262092,0.9150829132455087,0.33588268393077236,2.724412293412879,0.0038790388822807402,0.0038790388822807402,0.12684085510688847,0.0,0.9224192223543852,not_applicable,weak,weak,,False,False
M2_ot_teacher_force,M0b_ot_interpolation,evaluated_model,False,0.2743055959253785,0.25507592027895754,1.0753880477051339,0.016764812918676,0.00878499246833632,1.9083468744112515,0.568814760169866,0.33588268393077236,1.6934923632059058,0.00386851866694604,0.00386851866694604,0.10118764845605699,0.0,0.9226296266610792,not_applicable,acceptable,acceptable,,True,False
M3_ot_birth_death,M0b_ot_interpolation,evaluated_model,False,0.28852876316789844,0.25507592027895754,1.1311485727557349,0.016429275815505278,0.00878499246833632,1.8701525214416734,0.5907217068528332,0.33588268393077236,1.7587143818780038,0.01682193438269674,0.01682193438269674,0.11068883610451308,0.08582297181264532,0.6635613123460653,not_applicable,acceptable,acceptable,,True,False
M4_ot_adaptive_diffusion,M0b_ot_interpolation,evaluated_model,False,0.27451356949686045,0.25507592027895754,1.0762033875900376,0.0167285226624814,0.00878499246833632,1.9042159367553113,0.5664894186031588,0.33588268393077236,1.6865692865545758,0.00420092092778146,0.00420092092778146,0.10213776722090273,0.0,0.9159815814443708,not_applicable,acceptable,acceptable,,True,False
M5_ot_swarm,M0b_ot_interpolation,evaluated_model,False,0.27395130003203894,0.25507592027895754,1.0739990655818816,0.017878094289397,0.00878499246833632,2.0350722386882945,0.6135082258617978,0.33588268393077236,1.8265550896581673,0.0044812775751529,0.0044812775751529,0.08978622327790964,0.0,0.910374448496942,not_applicable,acceptable,acceptable,,True,False
M6_ot_swarm_birth_death,M0b_ot_interpolation,evaluated_model,False,0.29273694111379955,0.25507592027895754,1.147646319549313,0.0174750430740991,0.00878499246833632,1.9891927212327458,0.6309689132290458,0.33588268393077236,1.8785395717484878,0.02099268578254532,0.02099268578254532,0.11733966745843238,0.08504824516779957,0.5801462843490937,not_applicable,acceptable,acceptable,,True,False
M7_ot_swarm_birth_death_diffusion,M0b_ot_interpolation,evaluated_model,False,0.2842282348996482,0.25507592027895754,1.1142887756273072,0.01831640113655508,0.00878499246833632,2.0849649220045143,0.6329022921464613,0.33588268393077236,1.8842956854450605,0.0200098981472058,0.0200098981472058,0.1116389548693586,0.08740309186595677,0.599802037055884,not_applicable,acceptable,acceptable,,True,False
M8_ot_swarm_birth_death_diffusion_cci,M0b_ot_interpolation,evaluated_model,False,0.2842352917418687,0.25507592027895754,1.1143164412815671,0.01831787798324794,0.00878499246833632,2.0851330321876684,0.6329422785085953,0.33588268393077236,1.8844147340416302,0.0200098981472058,0.0200098981472058,0.1116389548693586,0.08740309186595677,0.599802037055884,not_applicable,acceptable,acceptable,,True,False
M9_full_memory,M0b_ot_interpolation,evaluated_model,False,0.28392956975706046,0.25507592027895754,1.113117888378283,0.01839458642472966,0.00878499246833632,2.093864791692096,0.6379025250392125,0.33588268393077236,1.8991825287745063,0.0200098981472058,0.0200098981472058,0.1116389548693586,0.08740309186595677,0.599802037055884,not_applicable,acceptable,acceptable,,True,False
