dataset,fraction,seed,neighbor_rule,k_or_radius,lineage_separation_effect,alignment_effect,condensation_direction,n_cells
internal,0.4,7,topological,2.0,-0.7432886865242729,0.008775792574892492,True,2000
internal,0.4,7,metric,0.03,-0.371921027574357,0.01820759284291281,True,2000
internal,0.4,7,random,2.0,2.998828373379183,0.004486644282983829,False,2000
internal,0.4,17,topological,2.0,-0.36868378403084695,0.02641950110208578,True,2000
internal,0.4,17,metric,0.03,-0.20725407416331262,0.014913092173939484,True,2000
internal,0.4,17,random,2.0,0.9087817004185084,-0.020074371026239483,False,2000
internal,0.4,23,topological,2.0,-0.5184809118462481,0.02010435313106852,True,2000
internal,0.4,23,metric,0.03,-0.3364875383758128,0.016337073566541807,True,2000
internal,0.4,23,random,2.0,1.5960845317746006,-0.046386608307322455,False,2000
internal,0.4,31,topological,2.0,-0.20067999734878972,0.026821643268942104,True,2000
internal,0.4,31,metric,0.03,-0.047517701160225884,0.014193291148051623,True,2000
internal,0.4,31,random,2.0,-1.3453424589894958,0.052742030308404714,True,2000
internal,0.4,43,topological,2.0,-0.655013778578035,0.004199372192225603,True,2000
internal,0.4,43,metric,0.03,-0.3711445031452743,-0.0016186720415365466,True,2000
internal,0.4,43,random,2.0,-1.0150277008956934,-0.1865112970746664,True,2000
internal,0.6,7,topological,2.0,-0.6135830694871661,0.003504597979203536,True,2200
internal,0.6,7,metric,0.03,-0.36424183768731133,0.005938491365021316,True,2200
internal,0.6,7,random,2.0,-1.721944783153603,-0.16615172119595523,True,2200
internal,0.6,17,topological,2.0,-0.3972183152639612,0.01052413335378078,True,2200
internal,0.6,17,metric,0.03,-0.22711104932728715,0.01027476697337465,True,2200
internal,0.6,17,random,2.0,-2.9168341787879726,-0.183097003892719,True,2200
internal,0.6,23,topological,2.0,-0.5462392186904801,0.008679256789732265,True,2200
internal,0.6,23,metric,0.03,0.20329230864884748,0.07519397596140026,False,2200
internal,0.6,23,random,2.0,0.8940869912320011,0.0416929003406179,False,2200
internal,0.6,31,topological,2.0,-0.3693420503985158,0.014426319831363534,True,2200
internal,0.6,31,metric,0.03,-0.18699922784591652,0.013747972391829962,True,2200
internal,0.6,31,random,2.0,1.2202918959676765,-0.04063775498081625,False,2200
internal,0.6,43,topological,2.0,-0.5941765538910239,-0.035364918973861584,True,2200
internal,0.6,43,metric,0.03,-0.17659157513607915,0.0035475319031527605,True,2200
internal,0.6,43,random,2.0,2.4506716270168454,0.0011750119018701793,False,2200
internal,0.8,7,topological,2.0,-0.5681897078065469,-0.0015200511503279043,True,2200
internal,0.8,7,metric,0.03,-0.3899961509408707,0.006797957515262413,True,2200
internal,0.8,7,random,2.0,0.7091392108754846,-0.039807705012622964,False,2200
internal,0.8,17,topological,2.0,-0.5143701777103515,0.04217634352273979,True,2200
internal,0.8,17,metric,0.03,-0.3006270193577261,0.00018383051697458755,True,2200
internal,0.8,17,random,2.0,3.101032098886435,0.0038368625251098687,False,2200
internal,0.8,23,topological,2.0,-0.6285145886543468,0.015262523338500318,True,2200
internal,0.8,23,metric,0.03,-0.09294991564522564,0.013265983433080792,True,2200
internal,0.8,23,random,2.0,-0.2515990947143649,0.023451880913095684,True,2200
internal,0.8,31,topological,2.0,-0.3392723513618851,0.001177294506121647,True,2200
internal,0.8,31,metric,0.03,-0.13969168331915946,-0.0001910159364801739,True,2200
internal,0.8,31,random,2.0,-1.7536008381488237,-0.1893440749505274,True,2200
internal,0.8,43,topological,2.0,-0.6048230856019214,0.009337944384659486,True,2200
internal,0.8,43,metric,0.03,-0.3965020502184645,-0.00023197722081889222,True,2200
internal,0.8,43,random,2.0,-1.4931452510655632,0.04411688856296421,True,2200
E1,0.4,7,topological,2.0,-0.9822869743991531,0.09852878576364987,True,724
E1,0.4,7,metric,0.03,-0.5407867295694126,-0.24337887291973043,True,724
E1,0.4,7,random,2.0,-1.3106453676795713,-0.0869576460743702,True,724
E1,0.4,17,topological,2.0,-2.118700689449245,0.07107284817836468,True,724
E1,0.4,17,metric,0.03,-1.1705031425378944,-0.2199283228998501,True,724
E1,0.4,17,random,2.0,-1.5572233096559387,-0.07840010630043155,True,724
E1,0.4,23,topological,2.0,-1.0163080378635136,0.08163083219796219,True,724
E1,0.4,23,metric,0.03,-0.8016420313541746,-0.25991191641246664,True,724
E1,0.4,23,random,2.0,-1.9568281511419272,-0.08559373583884344,True,724
E1,0.4,31,topological,2.0,-0.9126331353257984,0.11106263078611978,True,724
E1,0.4,31,metric,0.03,-0.6129813528339074,-0.23976101011627582,True,724
E1,0.4,31,random,2.0,-1.1136881258563047,-0.07792307615293687,True,724
E1,0.4,43,topological,2.0,-0.8585537739719453,0.06641400129584774,True,724
E1,0.4,43,metric,0.03,-0.3116464180960148,-0.26853119751064497,True,724
E1,0.4,43,random,2.0,-2.3702422088409065,-0.08347407650366453,True,724
E1,0.6,7,topological,2.0,-1.282633322740599,0.10472923094061182,True,1082
E1,0.6,7,metric,0.03,-0.7443347352538074,-0.25009371936196795,True,1082
E1,0.6,7,random,2.0,-1.4362829429503492,-0.09043737006722732,True,1082
E1,0.6,17,topological,2.0,-0.8816153349510656,0.10952487491366836,True,1082
E1,0.6,17,metric,0.03,-0.648357517997368,-0.25379873615732834,True,1082
E1,0.6,17,random,2.0,-1.5480676939563054,-0.09709699504551775,True,1082
E1,0.6,23,topological,2.0,-0.8665302212071468,0.09689256893362752,True,1082
E1,0.6,23,metric,0.03,-0.7347182895721862,-0.24141608868683911,True,1082
E1,0.6,23,random,2.0,-1.8698232683811273,-0.08191093445294154,True,1082
E1,0.6,31,topological,2.0,-1.6312836947371063,0.0760760851846467,True,1082
E1,0.6,31,metric,0.03,-1.3837059892651948,-0.6128505441943319,True,1082
E1,0.6,31,random,2.0,-1.4285061305345135,-0.07209392474974648,True,1082
E1,0.6,43,topological,2.0,-1.179946084715461,0.09172336501998579,True,1082
E1,0.6,43,metric,0.03,-1.1135889142601214,-0.6281236004851324,True,1082
E1,0.6,43,random,2.0,-1.420836406195349,-0.08593754975490775,True,1082
E1,0.8,7,topological,2.0,-0.9258967617600731,0.09431773848428426,True,1443
E1,0.8,7,metric,0.03,-0.5321261660089789,-0.24921506707771734,True,1443
E1,0.8,7,random,2.0,-1.060458317594831,-0.07974678793112988,True,1443
E1,0.8,17,topological,2.0,-1.184192774344527,0.07014505272764582,True,1443
E1,0.8,17,metric,0.03,-0.5467592821286802,-0.25545365170094086,True,1443
E1,0.8,17,random,2.0,-2.3072572342830266,-0.09057813369628169,True,1443
E1,0.8,23,topological,2.0,-0.9222373080804565,0.09270029731830454,True,1443
E1,0.8,23,metric,0.03,-0.4966356786434267,-0.2484862963073562,True,1443
E1,0.8,23,random,2.0,-1.753865537942076,-0.09114703309065626,True,1443
E1,0.8,31,topological,2.0,-1.3163489815110765,0.10360184742715506,True,1443
E1,0.8,31,metric,0.03,-0.8739006609086251,-0.24691570417842268,True,1443
