dataset,neighbor_rule,k_or_radius,n_neighbors_mean,n_neighbors_std,branch_event_detected,lineage_separation_effect,normalized_separation_effect,alignment_effect,entropy_effect,density_effect,teacher_fidelity_tier,composition_rmse,seed_stability,permutation_p,permutation_q,negative_control_pass,external_direction_match,runtime,interpretation
internal,topological,1.0,1.0,0.0,True,-0.129633610891599,-0.6635425011085225,-0.003110201384434571,-0.5144722725867827,-0.001516305967894288,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.43650630000047386,condensation
internal,topological,2.0,2.0,0.0,True,-0.38623049136083176,-0.8146261183649476,0.006210896629258382,-0.5144722725867827,-0.003985592861935533,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.26975400000810623,condensation
internal,topological,3.0,3.0,0.0,True,-0.46657560474891047,-0.7755975852897637,0.004811037832736731,-0.5144722725867827,-0.006734424108453152,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.27179480000631884,condensation
internal,topological,5.0,5.0,0.0,True,-0.7072942646919541,-0.7660518032175379,0.005735587444692103,-0.5144722725867827,-0.012995605773670205,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.30051720002666116,condensation
internal,topological,7.0,7.0,0.0,True,-0.8693962747068811,-0.7376239317750353,0.00571064060522003,-0.5144722725867827,-0.01991891649167732,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.27760239999042824,condensation
internal,topological,9.0,9.0,0.0,True,-1.0523561363531662,-0.6986979476259341,0.008238734145645216,-0.5144722725867827,-0.02721856304308723,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.301455199951306,condensation
internal,topological,12.0,12.0,0.0,True,-1.373575797438354,-0.6890158596125466,0.005874542955890467,-0.5144722725867827,-0.03849572257458034,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.2874699999811128,condensation
internal,topological,15.0,15.0,0.0,True,-1.585239107212495,-0.6570768191662054,0.006251402479091617,-0.5144722725867827,-0.0503809600399181,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.29914669995196164,condensation
internal,topological,20.0,20.0,0.0,True,-2.096331840571846,-0.6626311880152279,0.004861596817534133,-0.5144722725867827,-0.07142064770035628,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.29113309999229386,condensation
internal,topological,30.0,30.0,0.0,True,-2.851378054233962,-0.6323318908580154,0.004052592029438473,-0.5144722725867827,-0.11667241381493021,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.30070089997025207,condensation
E1,topological,1.0,1.0,0.0,True,-0.675898603296331,-0.44746022866463486,0.07126538575818797,0.05907508278429441,0.030471657593811874,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.12713460001396015,condensation
E1,topological,2.0,2.0,0.0,True,-1.117968385514307,-0.4600290081405807,0.08823687178834416,0.05907508278429441,0.061233216320696116,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.12528959999326617,condensation
E1,topological,3.0,3.0,0.0,True,-1.307658617378445,-0.4391779267443765,0.09920899923339166,0.05907508278429441,0.09160381090001168,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.12820429995190352,condensation
E1,topological,5.0,5.0,0.0,True,-1.825287862966551,-0.43415028083757357,0.10445339262693853,0.05907508278429441,0.1532821698416713,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.1347881000256166,condensation
E1,topological,7.0,7.0,0.0,True,-2.024669853979447,-0.4142650864320055,0.10718431056900457,0.05907508278429441,0.2129824420324029,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.13978149998001754,condensation
E1,topological,9.0,9.0,0.0,True,-1.871692369313406,-0.3485144744162989,0.10458003453400488,0.05907508278429441,0.272217553937498,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.12294359999941662,condensation
E1,topological,12.0,12.0,0.0,True,-2.1105703975490018,-0.3402723319058843,0.10748569397204422,0.05907508278429441,0.36424190021901826,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.12926210003206506,condensation
E1,topological,15.0,15.0,0.0,True,-2.314760451171108,-0.3414118054297757,0.1056076490181127,0.05907508278429441,0.4603447270760781,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.13044539996189997,condensation
E1,topological,20.0,20.0,0.0,True,-2.0673475179107097,-0.28623736175621967,0.10330096957577051,0.05907508278429441,0.615129740401791,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.12886190001154318,condensation
E1,topological,30.0,30.0,0.0,True,-1.9828144340777918,-0.24996407016127548,0.09188907925878642,0.05907508278429441,0.8525763671265851,acceptable,,True,0.3482587064676617,0.41791044776119407,True,True,0.13136430003214628,condensation
L2,topological,1.0,1.0,0.0,True,0.9375345432616425,5.876934738635814,-0.3409812772697332,0.09667453732044184,-0.02652803091112066,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.1851164000108838,divergence_or_no_condensation
L2,topological,2.0,2.0,0.0,True,1.6210529335202568,6.530368278178527,-0.3254205657475524,0.09667453732044184,-0.04732795892263686,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.19269689999055117,divergence_or_no_condensation
L2,topological,3.0,3.0,0.0,True,2.221067677538538,7.706750656414099,-0.3086631977210298,0.09667453732044184,-0.06715148209478644,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.19498199998633936,divergence_or_no_condensation
L2,topological,5.0,5.0,0.0,True,2.9587549461165494,7.298111268099764,-0.29104806933465,0.09667453732044184,-0.10538685175627116,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.19722039997577667,divergence_or_no_condensation
L2,topological,7.0,7.0,0.0,True,3.4689638503309053,6.326957288690635,-0.277162925504334,0.09667453732044184,-0.14207240574567015,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.1898915000492707,divergence_or_no_condensation
L2,topological,9.0,9.0,0.0,True,4.034377237625371,6.0503327534128815,-0.267565665198105,0.09667453732044184,-0.17801577649369893,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.19306289998348802,divergence_or_no_condensation
